Date,SMA(20),RSI(20),ATR(20)
2024-01-30,217.57,0.00,0.00
2024-01-31,214.52,54.53,8.65
2024-02-01,212.04,54.54,8.50
2024-02-02,209.54,54.53,8.42
2024-02-05,206.71,54.52,8.64
2024-02-06,203.95,54.53,8.68
2024-02-07,201.58,54.53,8.60
2024-02-08,199.36,54.54,8.47
2024-02-09,197.68,54.54,8.28
2024-02-12,196.14,54.53,8.24
2024-02-13,194.34,54.52,8.13
2024-02-14,193.00,54.53,8.00
2024-02-15,192.43,54.56,8.21
2024-02-16,191.82,54.56,8.08
2024-02-20,191.07,54.54,8.22
2024-02-21,190.35,54.54,8.18
2024-02-22,189.83,54.55,8.12
2024-02-23,190.29,54.53,8.02
2024-02-26,191.10,54.55,8.11
2024-02-27,191.54,54.55,8.07
2024-02-28,192.06,54.56,8.01
2024-02-29,192.79,54.56,7.95
2024-03-01,193.48,54.56,7.86
2024-03-04,193.49,54.49,8.26
2024-03-05,193.48,54.45,8.37
2024-03-06,193.05,54.43,8.35
2024-03-07,192.60,54.44,8.25
2024-03-08,191.89,54.41,8.24
2024-03-11,191.10,54.43,8.23
2024-03-12,190.57,54.43,8.17
2024-03-13,189.85,54.37,8.18
2024-03-14,188.54,54.31,8.30
2024-03-15,186.69,54.32,8.11
2024-03-18,185.38,54.39,8.26
2024-03-19,184.26,54.37,8.17
2024-03-20,183.31,54.41,8.03
2024-03-21,182.08,54.38,7.95
2024-03-22,181.02,54.36,7.88
2024-03-25,179.68,54.37,7.81
2024-03-26,178.58,54.42,8.00
2024-03-27,177.47,54.44,7.89
2024-03-28,176.16,54.39,7.73
2024-04-01,174.79,54.39,7.67
2024-04-02,173.72,54.26,7.87
2024-04-03,173.10,54.29,7.76
2024-04-04,172.83,54.32,7.83
2024-04-05,172.14,54.22,7.97
2024-04-08,172.02,54.34,8.05
2024-04-09,171.98,54.40,8.01
2024-04-10,171.69,54.30,7.95
2024-04-11,171.94,54.35,7.92
2024-04-12,172.37,54.27,7.74
2024-04-15,172.27,54.06,7.84
2024-04-16,171.43,53.96,7.83
2024-04-17,170.64,53.92,7.67
2024-04-18,169.35,53.78,7.62
2024-04-19,168.06,53.70,7.48
2024-04-22,166.62,53.56,7.51
2024-04-23,165.23,53.63,7.44
2024-04-24,164.45,54.09,8.24
2024-04-25,163.97,54.31,8.45
2024-04-26,163.59,54.25,8.32
2024-04-29,164.53,55.01,9.43
2024-04-30,165.37,54.61,9.52
2024-05-01,165.95,54.48,9.38
2024-05-02,166.39,54.48,9.34
2024-05-03,167.21,54.53,9.20
2024-05-06,167.79,54.66,9.05
2024-05-07,167.84,54.33,8.97
2024-05-08,167.99,54.18,8.90
2024-05-09,167.86,54.04,8.67
2024-05-10,167.73,53.85,8.50
2024-05-13,168.25,54.01,8.42
2024-05-14,169.27,54.30,8.38
2024-05-15,170.20,54.08,8.31
2024-05-16,171.44,54.12,8.11
2024-05-17,172.97,54.28,8.05
2024-05-20,174.61,54.09,7.86
2024-05-21,176.71,54.83,8.07
2024-05-22,177.61,54.32,8.09
2024-05-23,177.78,53.80,8.12
2024-05-24,178.33,54.20,8.03
2024-05-28,177.47,53.98,7.94
2024-05-29,177.11,53.92,7.75
2024-05-30,177.05,54.14,7.73
2024-05-31,176.96,54.07,7.67
2024-06-03,176.71,53.88,7.69
2024-06-04,176.21,53.70,7.49
2024-06-05,176.07,53.73,7.32
2024-06-06,176.23,54.04,7.30
2024-06-07,176.51,53.98,7.13
2024-06-10,176.77,53.48,7.04
2024-06-11,176.71,53.04,7.06
2024-06-12,176.70,53.88,7.24
2024-06-13,177.12,54.56,7.57
2024-06-14,177.28,53.85,7.64
2024-06-17,177.78,55.15,7.85
