Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,51.2627,51.4846,50.2091,50.2866,1287164.9151116
2024-01-03,48.6148,48.6809,47.0514,47.1096,2287569.6900604
2024-01-04,47.9769,48.2102,47.5573,47.6929,1048337.8582477
2024-01-05,47.4402,48.9645,47.4402,48.9451,967878.47860437
2024-01-08,48.7276,49.0736,48.2609,48.2609,1139266.4466528
2024-01-09,47.7629,48.1636,47.6775,47.829,1053733.1910854
2024-01-10,47.7123,48.1557,47.6815,47.8717,756431.83581226
2024-01-11,48.179,48.7544,48.0975,48.7544,592828.26838325
2024-01-12,47.9263,48.3771,47.3623,47.6617,799121.31393672
2024-01-16,47.2108,48.6223,47.1448,48.6069,2318959.3147584
2024-01-17,47.7356,48.4938,47.6308,48.4669,2059180.9820946
2024-01-18,48.9791,49.7784,48.5872,49.7626,1524089.766182
2024-01-19,49.1045,49.6649,48.211,49.6332,2614175.2768069
2024-01-22,49.4062,50.0058,49.1476,49.7626,2577192.6435294
2024-01-23,50.0291,50.3111,49.5356,50.268,2610558.9362262
2024-01-24,51.0246,51.0337,49.9979,50.425,2397613.3880899
2024-01-25,50.6406,51.1223,50.2526,50.9344,1571188.9654875
2024-01-26,50.5425,51.0709,50.2565,50.9815,1035368.2614723
2024-01-29,51.6629,52.5488,51.5455,52.3254,2580798.775668
2024-01-30,52.1217,53.4027,51.8239,53.0503,1910116.896421
2024-01-31,52.1332,52.5488,51.8002,52.3487,2037852.5791326
2024-02-01,52.5722,54.253,52.5528,53.8651,1893831.8793108
2024-02-02,53.3402,53.9944,52.925,53.9473,2206391.4045425
2024-02-05,53.101,53.4577,52.3293,53.4146,2427087.7122719
2024-02-06,53.0385,54.1553,52.7407,54.0766,2411427.9622346
2024-02-07,54.1395,54.9428,53.9398,54.8957,3434824.2733443
2024-02-08,55.699,55.9343,54.3393,54.4607,2691917.6669042
2024-02-09,54.6098,55.3149,54.0944,54.8055,1843376.6546957
2024-02-12,54.3511,54.696,54.0221,54.308,1370115.8354042
2024-02-13,53.9552,54.3669,53.6653,53.8615,1189143.1276309
2024-02-14,53.7555,54.3863,53.5558,54.3472,1415949.1879011
