Date,SMA(20),RSI(21),ATR(14)
2024-01-31,49.53,0.00,1.21
2024-02-01,49.87,47.96,1.26
2024-02-02,50.19,47.96,1.25
2024-02-05,50.41,47.95,1.27
2024-02-06,50.70,47.97,1.28
2024-02-07,51.05,47.98,1.26
2024-02-08,51.38,47.97,1.29
2024-02-09,51.68,47.98,1.28
2024-02-12,52.02,47.97,1.25
2024-02-13,52.28,47.96,1.21
2024-02-14,52.57,47.97,1.18
2024-02-15,52.84,47.99,1.16
2024-02-16,53.09,47.98,1.14
2024-02-20,53.31,47.97,1.14
2024-02-21,53.52,47.97,1.13
2024-02-22,53.78,48.01,1.16
2024-02-23,54.00,48.00,1.15
2024-02-26,54.18,47.98,1.12
2024-02-27,54.33,48.00,1.09
2024-02-28,54.37,47.96,1.10
2024-02-29,54.47,47.97,1.05
2024-03-01,54.44,47.94,1.05
2024-03-04,54.45,47.97,1.06
2024-03-05,54.47,47.96,1.05
2024-03-06,54.51,48.00,1.04
2024-03-07,54.54,48.04,1.04
2024-03-08,54.59,48.04,1.04
2024-03-11,54.62,48.03,1.00
2024-03-12,54.63,47.98,1.03
2024-03-13,54.65,47.98,1.04
2024-03-14,54.60,47.92,1.04
2024-03-15,54.63,48.07,1.13
2024-03-18,54.72,48.11,1.14
2024-03-19,54.81,48.09,1.14
2024-03-20,54.95,48.18,1.18
2024-03-21,55.03,48.18,1.15
2024-03-22,55.12,48.17,1.12
2024-03-25,55.24,48.17,1.09
2024-03-26,55.35,48.20,1.08
2024-03-27,55.51,48.18,1.05
2024-03-28,55.66,48.17,1.03
2024-04-01,55.86,48.20,1.02
2024-04-02,55.95,48.05,1.10
2024-04-03,56.12,48.21,1.14
2024-04-04,56.20,48.12,1.21
2024-04-05,56.28,48.20,1.22
2024-04-08,56.42,48.34,1.27
2024-04-09,56.55,48.32,1.26
2024-04-10,56.69,48.20,1.28
2024-04-11,56.82,48.19,1.30
2024-04-12,56.88,47.83,1.47
2024-04-15,56.80,47.76,1.47
2024-04-16,56.65,47.62,1.43
2024-04-17,56.52,47.66,1.44
2024-04-18,56.31,47.59,1.49
2024-04-19,56.17,47.86,1.51
2024-04-22,56.07,48.02,1.48
2024-04-23,56.01,48.17,1.48
2024-04-24,55.85,47.82,1.50
2024-04-25,55.73,47.98,1.50
2024-04-26,55.62,47.97,1.43
2024-04-29,55.49,47.96,1.36
2024-04-30,55.36,47.61,1.37
2024-05-01,55.17,47.65,1.40
2024-05-02,55.09,48.02,1.40
2024-05-03,54.98,48.09,1.36
2024-05-06,54.84,48.22,1.33
2024-05-07,54.45,46.64,1.61
2024-05-08,54.17,47.11,1.66
2024-05-09,53.87,46.93,1.67
2024-05-10,53.67,46.82,1.59
2024-05-13,53.48,46.71,1.53
2024-05-14,53.34,46.72,1.46
2024-05-15,53.18,46.66,1.42
2024-05-16,53.01,46.37,1.39
2024-05-17,52.75,46.23,1.33
2024-05-20,52.39,45.73,1.34
2024-05-21,51.99,45.57,1.32
2024-05-22,51.69,45.93,1.36
2024-05-23,51.45,46.90,1.39
2024-05-24,51.11,45.88,1.46
2024-05-28,50.77,45.84,1.39
2024-05-29,50.46,45.34,1.41
2024-05-30,50.14,45.39,1.36
2024-05-31,49.78,45.77,1.31
2024-06-03,49.45,46.26,1.28
2024-06-04,49.13,46.83,1.26
2024-06-05,49.07,46.76,1.25
2024-06-06,48.92,46.38,1.21
2024-06-07,48.75,45.78,1.19
2024-06-10,48.56,45.19,1.18
2024-06-11,48.35,44.65,1.17
2024-06-12,48.19,45.75,1.20
2024-06-13,48.00,45.02,1.20
2024-06-14,47.82,44.69,1.18
2024-06-17,47.68,45.09,1.16
2024-06-18,47.59,44.84,1.14
2024-06-20,47.41,42.98,1.21
2024-06-21,47.23,43.75,1.20
2024-06-24,47.00,44.59,1.20
2024-06-25,46.91,45.80,1.19
2024-06-26,46.76,44.21,1.24
2024-06-27,46.69,45.31,1.23
2024-06-28,46.62,45.21,1.18
2024-07-01,46.47,44.11,1.19
2024-07-02,46.28,43.85,1.15
2024-07-03,46.13,46.44,1.20
2024-07-05,46.01,46.90,1.16
2024-07-08,45.92,47.15,1.13
2024-07-09,45.87,47.17,1.12
2024-07-10,45.86,47.29,1.09
2024-07-11,45.93,48.78,1.11
2024-07-12,45.91,47.51,1.14
2024-07-15,45.91,46.91,1.11
