Date,SMA(20),RSI(21),ATR(14)
2024-01-31,214.52,0.00,8.66
2024-02-01,212.04,54.54,8.44
2024-02-02,209.54,54.54,8.32
2024-02-05,206.71,54.53,8.65
2024-02-06,203.95,54.54,8.70
2024-02-07,201.58,54.54,8.59
2024-02-08,199.36,54.54,8.41
2024-02-09,197.68,54.55,8.14
2024-02-12,196.14,54.54,8.09
2024-02-13,194.34,54.53,7.94
2024-02-14,193.00,54.54,7.77
2024-02-15,192.43,54.56,8.08
2024-02-16,191.82,54.56,7.92
2024-02-20,191.07,54.54,8.13
2024-02-21,190.35,54.55,8.08
2024-02-22,189.83,54.55,8.00
2024-02-23,190.29,54.54,7.86
2024-02-26,191.10,54.56,8.00
2024-02-27,191.54,54.56,7.95
2024-02-28,192.06,54.57,7.88
2024-02-29,192.79,54.56,7.80
2024-03-01,193.48,54.57,7.67
2024-03-04,193.49,54.50,8.26
2024-03-05,193.48,54.47,8.43
2024-03-06,193.05,54.45,8.39
2024-03-07,192.60,54.46,8.24
2024-03-08,191.89,54.44,8.23
2024-03-11,191.10,54.45,8.22
2024-03-12,190.57,54.45,8.13
2024-03-13,189.85,54.40,8.15
2024-03-14,188.54,54.35,8.33
2024-03-15,186.69,54.36,8.05
2024-03-18,185.38,54.42,8.27
2024-03-19,184.26,54.40,8.14
2024-03-20,183.31,54.43,7.94
2024-03-21,182.08,54.41,7.83
2024-03-22,181.02,54.39,7.74
2024-03-25,179.68,54.40,7.65
2024-03-26,178.58,54.45,7.93
2024-03-27,177.47,54.46,7.79
2024-03-28,176.16,54.42,7.56
2024-04-01,174.79,54.41,7.48
2024-04-02,173.72,54.32,7.79
2024-04-03,173.10,54.33,7.63
2024-04-04,172.83,54.36,7.74
2024-04-05,172.14,54.28,7.95
2024-04-08,172.02,54.37,8.06
2024-04-09,171.98,54.42,8.01
2024-04-10,171.69,54.34,7.93
2024-04-11,171.94,54.38,7.89
2024-04-12,172.37,54.32,7.63
2024-04-15,172.27,54.15,7.77
2024-04-16,171.43,54.07,7.77
2024-04-17,170.64,54.04,7.54
2024-04-18,169.35,53.93,7.48
2024-04-19,168.06,53.87,7.29
2024-04-22,166.62,53.76,7.35
2024-04-23,165.23,53.81,7.27
2024-04-24,164.45,54.17,8.41
2024-04-25,163.97,54.35,8.70
2024-04-26,163.59,54.29,8.49
2024-04-29,164.53,54.90,10.07
2024-04-30,165.37,54.58,10.15
2024-05-01,165.95,54.48,9.92
2024-05-02,166.39,54.48,9.82
2024-05-03,167.21,54.51,9.57
2024-05-06,167.79,54.62,9.34
2024-05-07,167.84,54.36,9.20
2024-05-08,167.99,54.24,9.09
2024-05-09,167.86,54.13,8.75
2024-05-10,167.73,53.99,8.50
2024-05-13,168.25,54.11,8.39
2024-05-14,169.27,54.33,8.33
2024-05-15,170.20,54.16,8.23
2024-05-16,171.44,54.20,7.95
2024-05-17,172.97,54.32,7.88
2024-05-20,174.61,54.18,7.62
2024-05-21,176.71,54.74,7.94
2024-05-22,177.61,54.35,7.98
2024-05-23,177.78,53.95,8.03
2024-05-24,178.33,54.26,7.91
2024-05-28,177.47,54.09,7.78
2024-05-29,177.11,54.05,7.52
2024-05-30,177.05,54.21,7.51
2024-05-31,176.96,54.15,7.43
2024-06-03,176.71,54.01,7.49
2024-06-04,176.21,53.88,7.22
2024-06-05,176.07,53.89,6.99
2024-06-06,176.23,54.13,6.99
2024-06-07,176.51,54.09,6.76
2024-06-10,176.77,53.70,6.66
2024-06-11,176.71,53.37,6.71
2024-06-12,176.70,54.01,7.00
2024-06-13,177.12,54.52,7.49
2024-06-14,177.28,53.98,7.60
2024-06-17,177.78,54.97,7.90
2024-06-18,178.28,54.63,7.70
2024-06-20,178.02,54.18,7.54
2024-06-21,178.17,54.36,7.24
2024-06-24,178.61,54.29,7.17
2024-06-25,179.02,54.91,7.08
2024-06-26,180.00,56.08,7.39
2024-06-27,181.06,56.22,7.20
2024-06-28,182.01,56.29,7.25
2024-07-01,183.60,57.96,7.83
2024-07-02,186.35,60.79,8.80
2024-07-03,189.93,62.65,9.39
2024-07-05,193.76,63.27,9.43
2024-07-08,197.51,63.44,9.82
2024-07-09,201.75,64.62,10.21
2024-07-10,206.22,64.74,10.18
2024-07-11,209.74,59.73,11.69
2024-07-12,213.29,60.76,12.19
2024-07-15,216.80,61.40,12.56
2024-07-16,220.73,61.97,12.58
2024-07-17,223.78,60.04,12.56
2024-07-18,227.00,60.16,12.37
2024-07-19,229.88,57.69,12.39
2024-07-22,233.30,59.81,12.51
2024-07-23,236.49,58.53,12.34
2024-07-24,237.93,51.63,13.72
2024-07-25,239.12,52.45,13.45
2024-07-26,240.24,52.36,12.99
2024-07-29,241.95,54.80,13.09
2024-07-30,242.59,52.62,13.04
2024-07-31,242.63,54.52,12.97
2024-08-01,241.15,51.06,13.31
2024-08-02,238.96,49.08,13.15
2024-08-05,236.26,47.24,14.05
2024-08-06,233.17,47.65,13.78
2024-08-07,229.60,45.76,13.65
2024-08-08,227.49,47.51,13.31
2024-08-09,225.08,47.80,12.77
2024-08-12,222.32,47.20,12.24
2024-08-13,219.88,49.88,12.18
2024-08-14,217.53,48.28,12.01
2024-08-15,215.77,51.52,12.18
2024-08-16,214.62,52.01,11.96
2024-08-19,213.18,53.65,11.74
2024-08-20,211.91,53.18,11.52
2024-08-21,212.28,53.75,11.11
2024-08-22,211.80,50.04,11.35
2024-08-23,211.82,52.67,11.31
2024-08-26,210.88,50.61,11.17
2024-08-27,210.21,49.47,10.99
2024-08-28,208.89,48.48,10.87
2024-08-29,208.36,48.65,10.75
2024-08-30,208.69,51.09,10.57
2024-09-03,209.27,49.97,10.55
2024-09-04,210.21,52.69,10.63
2024-09-05,212.13,55.78,10.98
2024-09-06,212.73,49.64,11.85
2024-09-09,213.54,51.24,11.65
2024-09-10,214.97,54.00,11.54
2024-09-11,215.99,54.53,11.55
2024-09-12,217.41,55.00,11.27
2024-09-13,218.22,55.14,10.92
2024-09-16,218.75,53.86,10.62
2024-09-17,219.01,54.21,10.44
2024-09-18,219.31,53.95,10.32
2024-09-19,220.34,59.11,10.80
2024-09-20,221.72,56.84,10.61
2024-09-23,223.21,60.17,10.69
2024-09-24,225.26,61.31,10.51
2024-09-25,227.65,62.04,10.10
2024-09-26,230.08,60.81,10.10
2024-09-27,232.78,62.55,9.85
2024-09-30,235.16,62.88,9.80
2024-10-01,237.53,61.16,10.20
2024-10-02,239.01,57.07,10.65
2024-10-03,239.54,53.59,10.75
2024-10-04,241.50,56.72,10.72
2024-10-07,242.73,53.03,10.62
2024-10-08,243.65,54.27,10.27
